feature,MI_stage,MI_q,Spearman_q,distribution_instability,final_score,instability_group,selected,rank,max_abs_corr_with_selected
position_control_deviation_axis_y__rms__rank,0.2711717602193142,0.3505177479858599,0.3461941894486598,0.6894411971900472,0.9776544168403614,domain_id,False,87,
torque_axis_y__std__rel,0.25666973785922,0.45157286552684317,0.39293782163753205,2.3731370141263803,0.9761635577539409,domain_id,False,88,
position_control_deviation_axis_y__clearance_factor__rel,0.22777213823398546,0.31061262768318265,0.43848230653911935,0.7303847110879288,0.9703476141879886,domain_id,False,89,
torque_spindle__std__rel,0.15985657552765398,0.49370452775324214,0.4427335668679898,0.031152100995331083,0.9697011233338617,domain_id,False,90,
position_control_deviation_axis_y__impulse_factor__rel,0.22522823488861565,0.3002983944801607,0.44430854947326043,0.7414723802636031,0.9661109230007313,domain_id,False,91,
force_sensor_x__energy__rel,0.12379311369193013,0.8780468360112232,0.35365647464994093,0.9263899720015448,0.9636431229360031,domain_id,False,92,
position_control_deviation_axis_y__shape_factor__rel,0.22129332430100468,0.29163685350507373,0.4501274231372966,0.6765322584557126,0.9633495631655864,domain_id,False,93,
position_control_deviation_axis_y__abs_mean__rank,0.24800151551533167,0.3758314749846492,0.35233523282870066,0.4845141132136638,0.9627311072547754,domain_id,False,94,
torque_spindle__variance__rel,0.14881834875522526,0.48006207033207904,0.4506670432018712,0.06113099626655811,0.9497896359677936,domain_id,False,95,
torque_axis_y__spectral_entropy__rel,0.20706096300779175,0.35122294246691466,0.45098165490794384,1.1179200077719922,0.9486927206573051,domain_id,False,96,
torque_spindle__abs_mean__rel,0.1573696086721712,0.6547192927123517,0.35066599828639633,0.09486534587481336,0.9483674303155082,domain_id,False,97,
force_sensor_y__zero_crossing_rate__rank,0.16009274312193855,0.6856076516291822,0.35316571902729565,0.7440720191370432,0.9434114009578616,domain_id,False,98,
position_control_deviation_axis_y__energy__rank,0.2519780892241401,0.3495804351897043,0.34599451135022813,0.6894087026096466,0.9422588928309846,domain_id,False,99,
position_control_deviation_axis_y__std__rank,0.25414052341937365,0.34031928536344536,0.34596848331094593,0.6911894421610728,0.9415906003526426,domain_id,False,100,
torque_spindle__energy__rel,0.14770799883229824,0.6213781736012862,0.36912269810024406,0.0926543015165412,0.9332937500613281,domain_id,False,101,
torque_spindle__spectral_rms__rel,0.14421177045231515,0.400230511754887,0.48609746208553684,0.20694373774095207,0.932110475670931,domain_id,False,102,
torque_spindle__band0_energy_ratio__rel,0.17153441780662093,0.4020716365463297,0.43431269831466907,0.18291442136540875,0.9316867203035523,domain_id,False,103,
torque_spindle__rms__rel,0.15192027805837793,0.6325683959954462,0.3537852605088376,0.09382531554819892,0.930947074981657,domain_id,False,104,
torque_spindle__band0_energy_ratio__rank,0.2013112013714562,0.3372976706178932,0.41754399020511335,0.3412555203091736,0.9308070397067589,domain_id,False,105,
torque_spindle__peak__rel,0.14649473700202198,0.4282325969819807,0.46234114993202624,0.10678966434013455,0.9302540701026509,domain_id,False,106,
position_control_deviation_axis_y__variance__rank,0.24687462681120298,0.3428058597356314,0.34596848331094593,0.6911894421610728,0.929641459840721,domain_id,False,107,
torque_spindle__total_power__rel,0.1378637917983776,0.4085837280545803,0.49068477917270925,0.23406057314800008,0.9281075534449774,domain_id,False,108,
torque_axis_y__dominant_amp__rel,0.16617170979683116,0.48416993490262517,0.4229159115215611,0.7875103741977021,0.9248571459061754,domain_id,False,109,
torque_spindle__abs_mean__rank,0.23992226481957712,0.4833938075522197,0.25950547794127693,0.13221516992173477,0.9221603527592755,domain_id,False,110,
position_control_deviation_axis_y__kurtosis__rel,0.20226457969658673,0.32052333703106584,0.43176311626384,0.8432077982760633,0.9175016097697634,domain_id,False,111,
torque_axis_y__kurtosis__rel,0.23646926907354993,0.489981564823204,0.3519933169247093,2.3712221758745473,0.9173202733499511,domain_id,False,112,
force_sensor_x__abs_mean__rank,0.20576175732050994,0.6037649487699861,0.2946298227641818,1.0608964382633355,0.9145997654211439,domain_id,False,113,
position_control_deviation_axis_y__total_power__rank,0.24620720721717637,0.3328012901360746,0.3293768597772198,0.5705748109144463,0.912078345886537,domain_id,False,114,
