eta,fine_weight,temperature,mid_floor,late_tau,early_tau,order_blend,val_Acc,val_Macro_F1,val_E_F1,val_M_F1,val_L_F1,val_M_Pre,val_M_Rec,val_M_to_E,val_M_to_L,val_n_middle_true,val_Rev,val_Jump,val_Smooth,val_q_MAE,val_q_RMSE,val_q_R2,val_Spearman,val_Pearson,val_q_Smooth,val_score
0.55,0.3,1.0,0.12,0.72,0.34,0.5,0.7680906713164778,0.7572968838135553,0.9325681492109039,0.75260663507109,0.5867158671586716,0.6362179487179487,0.9211136890951276,0.06960556844547564,0.009280742459396751,431,5,0,0.018448745478355486,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6566376007682604
0.55,0.3,1.0,0.04,0.72,0.34,0.5,0.7680906713164778,0.7572968838135553,0.9325681492109039,0.75260663507109,0.5867158671586716,0.6362179487179487,0.9211136890951276,0.06960556844547564,0.009280742459396751,431,5,0,0.018448745478355486,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6566376007682604
0.55,0.3,1.0,0.08,0.72,0.34,0.5,0.7680906713164778,0.7572968838135553,0.9325681492109039,0.75260663507109,0.5867158671586716,0.6362179487179487,0.9211136890951276,0.06960556844547564,0.009280742459396751,431,5,0,0.018448745478355486,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6566376007682604
0.55,0.3,1.0,0.04,0.72,0.34,0.25,0.7680906713164778,0.7566586800437435,0.9369627507163324,0.75260663507109,0.5804066543438078,0.6362179487179487,0.9211136890951276,0.06728538283062645,0.01160092807424594,431,4,0,0.019571957327777414,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6575078230995572
0.55,0.3,1.0,0.08,0.72,0.34,0.25,0.7680906713164778,0.7566586800437435,0.9369627507163324,0.75260663507109,0.5804066543438078,0.6362179487179487,0.9211136890951276,0.06728538283062645,0.01160092807424594,431,4,0,0.019571957327777414,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6575078230995572
0.55,0.3,1.0,0.12,0.72,0.34,0.25,0.7680906713164778,0.7566586800437435,0.9369627507163324,0.75260663507109,0.5804066543438078,0.6362179487179487,0.9211136890951276,0.06728538283062645,0.01160092807424594,431,4,0,0.019571957327777414,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6575078230995572
0.55,0.3,1.2,0.04,0.72,0.38,0.5,0.7593722755013078,0.7444801186597997,0.9325681492109039,0.7474370922646785,0.5534351145038168,0.6246105919003115,0.9303944315545244,0.06960556844547564,0.0,431,3,0,0.017538138556173054,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6577551283265131
0.55,0.3,1.2,0.08,0.72,0.38,0.5,0.7593722755013078,0.7444801186597997,0.9325681492109039,0.7474370922646785,0.5534351145038168,0.6246105919003115,0.9303944315545244,0.06960556844547564,0.0,431,3,0,0.017538138556173054,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6577551283265131
0.55,0.3,1.2,0.12,0.72,0.38,0.5,0.7593722755013078,0.7444801186597997,0.9325681492109039,0.7474370922646785,0.5534351145038168,0.6246105919003115,0.9303944315545244,0.06960556844547564,0.0,431,3,0,0.017538138556173054,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.6577551283265131
0.55,0.2,1.2,0.08,0.72,0.38,0.25,0.7680906713164778,0.7562893202581588,0.9384835479256081,0.75260663507109,0.5777777777777777,0.6362179487179487,0.9211136890951276,0.06728538283062645,0.01160092807424594,431,4,0,0.019586164325972506,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.657877182885142
0.55,0.2,1.2,0.04,0.72,0.38,0.25,0.7680906713164778,0.7562893202581588,0.9384835479256081,0.75260663507109,0.5777777777777777,0.6362179487179487,0.9211136890951276,0.06728538283062645,0.01160092807424594,431,4,0,0.019586164325972506,0.0823267366793156,0.10290552501414547,0.7741041211504233,0.9267989031386533,0.8892763108832106,0.005586407096104851,0.657877182885142
