Split_type,Task,Seed,Phase,Score,eta,fine_weight,temperature,mid_floor,early_tau,late_tau,order_blend,prior_sigma,Method,Acc,Macro-F1,Balanced-Acc,E-F1,M-F1,L-F1,E-Rec,M-Rec,L-Rec,M-Pre,M→E,M→L,E→M,L→M,Rev,Jump,Smooth,Predicted_class_count,Early_recall,Middle_recall,Late_recall
original,N1,2026,random200,0.7009418386182666,0.85,0.3,1.5,0.02,0.32,0.55,0.0,0.45,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.13749810908308044,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.7013179508683992,0.8,0.3,1.5,0.0,0.4,0.6,0.0,0.45,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.13279670595642212,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.6958592108666694,0.9,0.0,1.0,0.01,0.32,0.6,0.1,0.45,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.20103095597804616,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.7372265597904291,0.85,0.2,2.0,0.02,0.45,0.7,0.1,0.28,B12,0.875,0.8988505747126437,0.9375,1.0,0.8,0.896551724137931,1.0,1.0,0.8125,0.6666666666666666,0.0,0.0,0.0,0.1875,0,0,0.1111945830794066,3,1.0,1.0,0.8125
original,N1,2026,random200,0.6979728903276637,0.9,0.3,1.2,0.0,0.28,0.65,0.0,0.28,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.17460996271561668,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.5637551369299919,0.75,0.05,1.5,0.0,0.4,0.75,0.08,0.28,B12,0.75,0.7160493827160493,0.7291666666666666,0.6666666666666666,0.6666666666666666,0.8148148148148148,0.5,1.0,0.6875,0.5,0.0,0.0,0.5,0.3125,1,0,0.12792575751090202,3,0.5,1.0,0.6875
original,N1,2026,random200,0.5698963950874153,0.8,0.1,1.5,0.01,0.32,0.55,0.08,0.28,B12,0.8333333333333334,0.7613927291346646,0.7361111111111112,0.6666666666666666,0.7142857142857143,0.9032258064516129,0.5,0.8333333333333334,0.875,0.625,0.0,0.16666666666666666,0.5,0.125,0,0,0.13455959033715983,3,0.5,0.8333333333333334,0.875
original,N1,2026,random200,0.6957041467292836,0.9,0.0,1.0,0.02,0.4,0.65,0.1,0.22,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.20296925769536847,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.6347648344740755,0.75,0.3,1.5,0.0,0.36,0.65,0.05,0.45,B12,0.875,0.8000000000000002,0.7916666666666666,0.6666666666666666,0.8,0.9333333333333333,0.5,1.0,0.875,0.6666666666666666,0.0,0.0,0.5,0.125,0,0,0.1279395690740563,3,0.5,1.0,0.875
original,N1,2026,random200,0.6347163888378093,0.75,0.05,1.5,0.02,0.36,0.7,0.03,0.35,B12,0.875,0.8000000000000002,0.7916666666666666,0.6666666666666666,0.8,0.9333333333333333,0.5,1.0,0.875,0.6666666666666666,0.0,0.0,0.5,0.125,0,0,0.12854513952738308,3,0.5,1.0,0.875
original,N1,2026,random200,0.70119307132029,0.8,0.3,1.5,0.0,0.4,0.55,0.08,0.35,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.13435770030778776,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.6362717195451232,0.85,0.3,2.0,0.0,0.4,0.75,0.0,0.22,B12,0.875,0.8000000000000002,0.7916666666666666,0.6666666666666666,0.8,0.9333333333333333,0.5,1.0,0.875,0.6666666666666666,0.0,0.0,0.5,0.125,0,0,0.10910350568596026,3,0.5,1.0,0.875
original,N1,2026,random200,0.6972453401398636,0.8,0.3,1.0,0.0,0.4,0.55,0.08,0.28,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.18370434006311717,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.697962535107893,0.9,0.0,1.2,0.01,0.28,0.75,0.05,0.28,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.17473940296275123,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.6309802327273313,0.75,0.05,1.0,0.02,0.32,0.7,0.0,0.28,B12,0.875,0.8000000000000002,0.7916666666666666,0.6666666666666666,0.8,0.9333333333333333,0.5,1.0,0.875,0.6666666666666666,0.0,0.0,0.5,0.125,0,0,0.1752470909083596,3,0.5,1.0,0.875
original,N1,2026,random200,-1.1259546383196417,0.75,0.2,2.0,0.01,0.32,0.75,0.15,0.35,B12,0.5416666666666666,0.3768115942028986,0.4791666666666667,0.0,0.5217391304347826,0.6086956521739131,0.0,1.0,0.4375,0.35294117647058826,0.0,0.0,1.0,0.5625,0,0,0.09968207319841893,2,0.0,1.0,0.4375
original,N1,2026,random200,0.6990604081340389,0.8,0.05,1.2,0.01,0.45,0.7,0.05,0.45,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.1610159901359259,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.7351079059690869,0.9,0.1,2.0,0.01,0.36,0.55,0.05,0.22,B12,0.9166666666666666,0.9236111111111112,0.9236111111111112,1.0,0.8333333333333334,0.9375,1.0,0.8333333333333334,0.9375,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0625,1,1,0.11410256427530155,3,1.0,0.8333333333333334,0.9375
original,N1,2026,random200,0.7661930146447543,0.75,0.3,1.2,0.02,0.4,0.65,0.1,0.45,B12,0.9166666666666666,0.9301587301587301,0.9583333333333334,1.0,0.8571428571428571,0.9333333333333333,1.0,1.0,0.875,0.75,0.0,0.0,0.0,0.125,0,0,0.1538869201151733,3,1.0,1.0,0.875
original,N1,2026,random200,0.6986171787131874,0.85,0.05,1.2,0.01,0.28,0.75,0.05,0.35,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.1665563578965708,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.695863254944192,0.9,0.1,1.0,0.02,0.45,0.7,0.0,0.35,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.2009804050090137,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.6957967522620786,0.75,0.05,0.8,0.01,0.4,0.7,0.08,0.35,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.20181168853543105,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.6965311228920202,0.85,0.0,1.0,0.01,0.4,0.75,0.15,0.35,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.19263205566115996,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.6346409250115885,0.75,0.1,1.5,0.02,0.28,0.65,0.03,0.28,B12,0.875,0.8000000000000002,0.7916666666666666,0.6666666666666666,0.8,0.9333333333333333,0.5,1.0,0.875,0.6666666666666666,0.0,0.0,0.5,0.125,0,0,0.12948843735514382,3,0.5,1.0,0.875
original,N1,2026,random200,0.6985219631454439,0.85,0.05,1.2,0.0,0.32,0.75,0.05,0.22,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.1677465524933642,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.6965389016853242,0.85,0.1,1.0,0.0,0.45,0.75,0.05,0.22,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.19253482074486114,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.7351145043080117,0.8,0.3,1.5,0.02,0.32,0.6,0.15,0.28,B12,0.875,0.8988505747126437,0.9375,1.0,0.8,0.896551724137931,1.0,1.0,0.8125,0.6666666666666666,0.0,0.0,0.0,0.1875,0,0,0.13759527660962215,3,1.0,1.0,0.8125
original,N1,2026,random200,0.7263820003327842,0.85,0.3,0.8,0.0,0.4,0.55,0.05,0.22,B12,0.9166666666666666,0.9236111111111112,0.9236111111111112,1.0,0.8333333333333334,0.9375,1.0,0.8333333333333334,0.9375,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0625,1,1,0.2231763847290856,3,1.0,0.8333333333333334,0.9375
original,N1,2026,random200,0.7289640377110422,0.85,0.0,1.0,0.01,0.45,0.55,0.0,0.35,B12,0.9166666666666666,0.9236111111111112,0.9236111111111112,1.0,0.8333333333333334,0.9375,1.0,0.8333333333333334,0.9375,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0625,1,1,0.19090091750086144,3,1.0,0.8333333333333334,0.9375
original,N1,2026,random200,0.6971028780714101,0.8,0.1,1.0,0.02,0.28,0.6,0.05,0.22,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.18548511591878608,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.7002835827819316,0.9,0.0,1.5,0.01,0.45,0.75,0.03,0.28,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.1457263070372675,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.6980319186806901,0.9,0.05,1.2,0.01,0.28,0.6,0.03,0.45,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.17387210830278596,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.6940364038420009,0.85,0.0,0.8,0.0,0.28,0.7,0.1,0.22,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.22381604378640085,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.69725063710419,0.8,0.2,1.0,0.01,0.45,0.65,0.03,0.45,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.18363812800903778,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.5682308351316774,0.75,0.3,1.2,0.01,0.32,0.55,0.08,0.22,B12,0.8333333333333334,0.7613927291346646,0.7361111111111112,0.6666666666666666,0.7142857142857143,0.9032258064516129,0.5,0.8333333333333334,0.875,0.625,0.0,0.16666666666666666,0.5,0.125,0,0,0.1553790897838838,3,0.5,0.8333333333333334,0.875
original,N1,2026,random200,0.7001348872005441,0.9,0.2,1.5,0.02,0.45,0.7,0.08,0.22,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.14758500180461276,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.6121177120201639,0.8,0.0,2.0,0.01,0.45,0.65,0.1,0.45,B12,0.8333333333333334,0.7710727969348659,0.7708333333333334,0.6666666666666666,0.7499999999999999,0.896551724137931,0.5,1.0,0.8125,0.6,0.0,0.0,0.5,0.1875,0,0,0.10699962465216521,3,0.5,1.0,0.8125
original,N1,2026,random200,0.7656357724430103,0.8,0.05,1.2,0.01,0.32,0.7,0.05,0.28,B12,0.9166666666666666,0.9301587301587301,0.9583333333333334,1.0,0.8571428571428571,0.9333333333333333,1.0,1.0,0.875,0.75,0.0,0.0,0.0,0.125,0,0,0.1608524476369733,3,1.0,1.0,0.875
original,N1,2026,random200,0.6312154814445311,0.75,0.1,1.0,0.0,0.32,0.75,0.03,0.45,B12,0.875,0.8000000000000002,0.7916666666666666,0.6666666666666666,0.8,0.9333333333333333,0.5,1.0,0.875,0.6666666666666666,0.0,0.0,0.5,0.125,0,0,0.17230648194336176,3,0.5,1.0,0.875
original,N1,2026,random200,0.6958405642651825,0.9,0.2,1.0,0.0,0.4,0.7,0.0,0.22,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.20126403849663144,3,1.0,0.8333333333333334,0.875
original,N1,2026,random200,0.6969967725996962,0.8,0.0,1.0,0.01,0.4,0.65,0.08,0.22,B12,0.875,0.890818858560794,0.9027777777777778,1.0,0.7692307692307692,0.9032258064516129,1.0,0.8333333333333334,0.875,0.7142857142857143,0.0,0.16666666666666666,0.0,0.125,0,1,0.18681143431521077,3,1.0,0.8333333333333334,0.875
