Task,Split_type,Method,Seed,Validation_cases,Best_validation_score,Validation_Acc,Validation_MacroF1,Validation_BalancedAcc,Validation_MF1,Validation_MRec,Validation_ERec,Validation_LRec,Validation_Smooth,Validation_q_Spearman,Validation_q_Pearson,Test_Acc,Test_MacroF1,Test_BalancedAcc,Test_MF1,Test_MRec,Test_ERec,Test_LRec,Test_Smooth,Predicted_class_count,Best_L,Best_top_k,Best_model_config,Best_fusion_params
N2b,stagebalanced,B9,2026,"4,9,12",0.6973456657952869,0.88,0.8248847926267281,0.8111111111111112,0.9032258064516129,0.9333333333333333,0.5,1.0,0.32665613484145567,,,0.6176470588235294,0.6062467997951869,0.6578947368421053,0.5806451612903226,0.47368421052631576,0.6666666666666666,0.8333333333333334,0.4538043298913787,3,3,20,tiny_L3_k20,{}
N2b,stagebalanced,B10,2026,"4,9,12",0.6985257874041447,0.8181818181818182,0.7361111111111112,0.6666666666666666,0.8750000000000001,1.0,0.5,0.5,0.1440873432316278,,,0.5666666666666667,0.5074275362318841,0.7369281045751634,0.4347826086956522,0.29411764705882354,1.0,0.9166666666666666,0.27684655584968054,3,4,30,small_L4_k30,{}
N2b,stagebalanced,B11,2026,"4,9,12",0.6760198248180358,0.9090909090909091,0.8095238095238096,0.8095238095238096,0.9285714285714286,0.9285714285714286,0.5,1.0,0.14578707084843986,0.691699604743083,0.6612034736479271,0.5333333333333333,0.48888888888888893,0.7254901960784315,0.3,0.17647058823529413,1.0,1.0,0.1871422933271298,3,4,30,b11_small_L4_k30_qweak,{}
N2b,stagebalanced,B12,2026,"4,9,12",0.5849595843386538,0.8181818181818182,0.7222222222222223,0.6984126984126985,0.8666666666666666,0.9285714285714286,0.5,0.6666666666666666,0.136562194323828,0.691699604743083,0.6612034736479271,0.6,0.7070707070707071,0.7647058823529411,0.45454545454545453,0.29411764705882354,1.0,1.0,0.1764198521637567,3,4,30,b11_small_L4_k30_qweak,"{""eta"": 0.93, ""fine_weight"": 0.05, ""temperature"": 1.0, ""mid_floor"": 0.0, ""early_tau"": 0.34, ""late_tau"": 0.58, ""order_blend"": 0.01, ""prior_sigma"": 0.45}"
N3b,stagebalanced,B9,2026,"1,3,8",0.6197036306919477,0.72,0.7352941176470589,0.7985347985347985,0.7058823529411764,0.8571428571428571,1.0,0.5384615384615384,0.13895058530298146,,,0.37037037037037035,0.21064425770308123,0.3541666666666667,0.0,0.0,1.0,0.0625,0.04359886924857679,2,5,30,small_L5_k30,{}
N3b,stagebalanced,B10,2026,"1,3,8",0.5865505079998796,0.6071428571428571,0.6262932973459289,0.6904761904761906,0.5833333333333334,1.0,0.7142857142857143,0.35714285714285715,0.05101430714130402,,,0.41935483870967744,0.2596491228070175,0.32371794871794873,0.0,0.0,0.8461538461538461,0.125,,3,4,60,wide_L4_k60,{}
N3b,stagebalanced,B11,2026,"1,3,8",0.6257879592218362,0.8064516129032258,0.8026862026862026,0.8082010582010581,0.7999999999999999,0.75,0.8888888888888888,0.7857142857142857,0.4749154502540997,0.7596774193548388,0.7196940245879547,0.5142857142857142,0.32334943639291464,0.35784313725490197,0.0,0.0,0.8235294117647058,0.25,0.3033611825402101,2,3,30,b11_sample_14,{}
N3b,stagebalanced,B12,2026,"1,3,8",0.6452179085597823,0.8387096774193549,0.8296296296296296,0.832010582010582,0.7999999999999999,0.75,0.8888888888888888,0.8571428571428571,0.3509510448631065,0.7596774193548388,0.7196940245879547,0.5428571428571428,0.351010101010101,0.3786764705882353,0.0,0.0,0.8235294117647058,0.3125,0.22736946468382,2,3,30,b11_sample_14,"{""eta"": 0.77, ""fine_weight"": 0.3, ""temperature"": 1.5, ""mid_floor"": 0.0, ""early_tau"": 0.42, ""late_tau"": 0.57, ""order_blend"": 0.0, ""prior_sigma"": 0.45}"
N4b,stagebalanced,B9,2026,"10,11,14",0.33957648910394805,0.5277777777777778,0.4458689458689458,0.4702380952380952,0.5,0.42857142857142855,0.125,0.8571428571428571,0.34794618442979164,,,0.5882352941176471,0.5635993135993136,0.6297852474323062,0.4166666666666667,0.29411764705882354,0.6666666666666666,0.9285714285714286,0.4619483926488707,3,3,20,tiny_L3_k20,{}
N4b,stagebalanced,B10,2026,"10,11,14",0.585000110425246,0.5925925925925926,0.5141025641025642,0.5595238095238095,0.6923076923076924,1.0,0.25,0.42857142857142855,0.017520631353060406,,,0.7272727272727273,0.49170437405731526,0.47863247863247865,0.7058823529411765,0.6666666666666666,0.0,0.7692307692307693,0.01855431828233931,3,6,45,mid_L6_k45,{}
N4b,stagebalanced,B11,2026,"10,11,14",0.4819545722406717,0.6666666666666666,0.6047311827956989,0.6019536019536019,0.64,0.6153846153846154,0.3333333333333333,0.8571428571428571,0.019198145469029745,0.36864973262032086,0.41539519706183164,0.5666666666666667,0.380952380952381,0.3984126984126984,0.4,0.26666666666666666,0.0,0.9285714285714286,0.018883771621263944,3,4,60,b11_wide_L4_k60,{}
N4b,stagebalanced,B12,2026,"10,11,14",-1.1209640691797,0.5454545454545454,0.3956043956043957,0.45054945054945056,0.6153846153846155,0.9230769230769231,0.0,0.42857142857142855,0.023164750860137792,0.36864973262032086,0.41539519706183164,0.6,0.3557422969187675,0.4047619047619047,0.7142857142857143,1.0,0.0,0.21428571428571427,0.02283405478948347,2,4,60,b11_wide_L4_k60,"{""eta"": 0.95, ""fine_weight"": 0.3, ""temperature"": 0.8, ""mid_floor"": 0.0, ""early_tau"": 0.42, ""late_tau"": 0.62, ""order_blend"": 0.0, ""prior_sigma"": 0.45}"
