Split_type,Task,Seed,Config,Validation_score,Epoch,Macro-F1,Balanced-Acc,M-F1,M-Rec,Smooth,q_Spearman,q_Pearson,name,L,top_k,batch_size,lr,dropout,weight_decay,tcn_channels,gru_hidden,lambda_fine,lambda_q,lambda_mono
original,N3,2026,b11_sample_14,0.38359950251697644,11,0.47719298245614034,0.5010822510822511,0.4210526315789474,0.5714285714285714,0.2606918792570791,0.6828113063407182,0.6636571626166077,b11_sample_14,3,30,8,0.001,0.3,0.0001,"(16, 32)",32,0.5,0.2,0.02
original,N4,2026,b11_tiny_L3_k20,0.5702906067907825,22,0.75213282247765,0.7847222222222222,0.7777777777777777,0.875,0.6492326163429287,0.6280566280566281,0.6307454358844614,b11_tiny_L3_k20,3,20,8,0.001,0.2,0.0001,"(16, 32)",32,0.1,0.1,0.0
original,N4,2026,b11_small_L4_k30_qweak,0.5926494898399577,25,0.7377281947261665,0.7489316239316239,0.823529411764706,0.875,0.5051067712852576,0.7356283422459894,0.7272889331308419,b11_small_L4_k30_qweak,4,30,8,0.001,0.2,0.0001,"(16, 32)",32,0.2,0.05,0.02
original,N4,2026,b11_mid_L5_k45,0.4401725374549271,23,0.5161443494776828,0.5527777777777777,0.5,0.625,0.2509624673812478,0.8442714126807563,0.7842869809585727,b11_mid_L5_k45,5,45,16,0.0005,0.2,0.0001,"(32, 64)",32,0.2,0.1,0.02
original,N4,2026,b11_wide_L4_k60,0.3661463043260932,2,0.5059511523907809,0.5010683760683761,0.35294117647058826,0.375,0.021326990922292073,0.33489304812834225,0.31506695471814133,b11_wide_L4_k60,4,60,16,0.0005,0.3,0.0001,"(32, 64)",32,0.1,0.2,0.05
original,N4,2026,b11_sample_01,0.5401778434461361,7,0.6356043956043956,0.6597222222222222,0.5714285714285714,0.75,0.21440705047412353,0.9086229086229086,0.8493500116781253,b11_sample_01,3,45,8,0.001,0.3,0.0001,"(32, 64)",32,0.5,0.2,0.05
original,N4,2026,b11_sample_02,0.3719345976070546,13,0.45708689458689467,0.5,0.4615384615384615,0.375,0.15200373902916908,0.5555555555555555,0.5980004717852153,b11_sample_02,6,60,8,0.001,0.3,0.0001,"(16, 32)",16,0.2,0.05,0.02
original,N4,2026,b11_sample_03,0.5262821789796802,10,0.6879120879120878,0.7152777777777778,0.5714285714285714,0.75,0.27220671398170065,0.5855855855855856,0.5891088657172361,b11_sample_03,3,60,16,0.001,0.2,0.0001,"(32, 32)",32,0.2,0.1,0.05
original,N4,2026,b11_sample_04,0.4453926640362664,21,0.5259096459096458,0.5763888888888888,0.46153846153846156,0.75,0.25044895776293497,0.7824967824967826,0.7020587918069395,b11_sample_04,3,45,8,0.0005,0.2,0.0001,"(32, 32)",16,0.5,0.2,0.05
original,N4,2026,b11_sample_05,0.38663020592704817,31,0.450046685340803,0.4694444444444444,0.42857142857142855,0.375,0.1519125847628823,0.8095661846496106,0.7462576418231223,b11_sample_05,5,20,16,0.0005,0.2,0.0001,"(32, 32)",16,0.2,0.2,0.05
original,N4,2026,b11_sample_06,-0.2398480640818374,6,0.4065656565656566,0.5037878787878788,0.5833333333333334,0.875,0.026637206474939983,-0.4884004884004884,-0.4849043864124438,b11_sample_06,6,20,16,0.0005,0.2,0.0001,"(32, 64)",32,0.2,0.2,0.02
original,N4,2026,b11_sample_07,0.48614468450883863,13,0.600559369438088,0.6319444444444445,0.5263157894736842,0.625,0.30059205921310367,0.812870012870013,0.5838800156219217,b11_sample_07,3,30,8,0.001,0.3,0.0001,"(32, 64)",16,0.5,0.2,0.02
