Split_type,Task,Seed,Strategy,theta_E,theta_L,theta_v,Method,Acc,Macro-F1,Balanced-Acc,E-F1,M-F1,L-F1,E-Rec,M-Rec,L-Rec,M-Pre,M→E,M→L,E→M,L→M,Rev,Jump,Smooth,Predicted_class_count,Early_recall,Middle_recall,Late_recall,label_selection_score,train_present,val_present,vb_E,vb_L,vb_E_quantile,vb_L_quantile
original,N1,2026,A_q_global,0.35,0.7,0.85,centroid,0.5384615384615384,0.5163461538461539,0.560924369747899,0.6875,0.46153846153846156,0.4,0.6470588235294118,0.75,0.2857142857142857,0.3333333333333333,0.25,0.0,0.23529411764705882,0.5714285714285714,3,4,0.4444444444444444,3,0.6470588235294118,0.75,0.2857142857142857,0.5118790400775696,3,3,,,,
original,N1,2026,A_q_global,0.35,0.7,0.9,centroid,0.5897435897435898,0.4975108225108225,0.5287414110943524,0.6857142857142857,0.1818181818181818,0.625,0.7058823529411765,0.1111111111111111,0.7692307692307693,0.5,0.3333333333333333,0.5555555555555556,0.058823529411764705,0.0,2,4,0.4444444444444444,3,0.7058823529411765,0.1111111111111111,0.7692307692307693,0.43364562724856837,3,3,,,,
original,N1,2026,A_q_global,0.35,0.75,0.75,centroid,0.5641025641025641,0.5510662177328843,0.6666666666666666,0.7272727272727272,0.5555555555555556,0.37037037037037035,0.7058823529411765,1.0,0.29411764705882354,0.38461538461538464,0.0,0.0,0.0,0.47058823529411764,3,5,0.4444444444444444,3,0.7058823529411765,1.0,0.29411764705882354,0.5568686868686868,3,3,,,,
original,N1,2026,A_q_global,0.35,0.75,0.8,centroid,0.5641025641025641,0.5510662177328843,0.6666666666666666,0.7272727272727272,0.5555555555555556,0.37037037037037035,0.7058823529411765,1.0,0.29411764705882354,0.38461538461538464,0.0,0.0,0.0,0.47058823529411764,3,5,0.4444444444444444,3,0.7058823529411765,1.0,0.29411764705882354,0.5593686868686869,3,3,,,,
original,N1,2026,A_q_global,0.35,0.75,0.85,centroid,0.5384615384615384,0.5176656920077972,0.5404725992961287,0.6875,0.4444444444444444,0.42105263157894735,0.6470588235294118,0.6666666666666666,0.3076923076923077,0.3333333333333333,0.3333333333333333,0.0,0.23529411764705882,0.6153846153846154,3,4,0.4444444444444444,3,0.6470588235294118,0.6666666666666666,0.3076923076923077,0.5051315624090392,3,3,,,,
original,N1,2026,A_q_global,0.35,0.75,0.9,centroid,0.5641025641025641,0.47985347985347987,0.538324420677362,0.6857142857142857,0.15384615384615385,0.6,0.7058823529411765,0.09090909090909091,0.8181818181818182,0.5,0.36363636363636365,0.5454545454545454,0.058823529411764705,0.0,2,4,0.4444444444444444,3,0.7058823529411765,0.09090909090909091,0.8181818181818182,0.4201442674972086,3,3,,,,
original,N1,2026,A_q_global,0.35,0.8,0.75,centroid,0.5641025641025641,0.5510662177328843,0.6666666666666666,0.7272727272727272,0.5555555555555556,0.37037037037037035,0.7058823529411765,1.0,0.29411764705882354,0.38461538461538464,0.0,0.0,0.0,0.47058823529411764,3,5,0.4444444444444444,3,0.7058823529411765,1.0,0.29411764705882354,0.5568686868686868,3,3,,,,
original,N1,2026,A_q_global,0.35,0.8,0.8,centroid,0.5641025641025641,0.5510662177328843,0.6666666666666666,0.7272727272727272,0.5555555555555556,0.37037037037037035,0.7058823529411765,1.0,0.29411764705882354,0.38461538461538464,0.0,0.0,0.0,0.47058823529411764,3,5,0.4444444444444444,3,0.7058823529411765,1.0,0.29411764705882354,0.5593686868686869,3,3,,,,
original,N1,2026,A_q_global,0.35,0.8,0.85,centroid,0.5641025641025641,0.5439814814814815,0.5601307189542484,0.6875,0.5,0.4444444444444444,0.6470588235294118,0.7,0.3333333333333333,0.3888888888888889,0.3,0.0,0.23529411764705882,0.5833333333333334,3,4,0.4444444444444444,3,0.6470588235294118,0.7,0.3333333333333333,0.533811274509804,3,3,,,,
original,N1,2026,A_q_global,0.35,0.8,0.9,centroid,0.6153846153846154,0.5525210084033613,0.6104575163398692,0.7647058823529412,0.25,0.6428571428571429,0.7647058823529411,0.16666666666666666,0.9,0.5,0.3333333333333333,0.5,0.058823529411764705,0.1,3,5,0.5555555555555556,3,0.7647058823529411,0.16666666666666666,0.9,0.49020308123249295,3,3,,,,
original,N1,2026,A_q_global,0.4,0.6,0.75,centroid,0.4358974358974359,0.3666666666666667,0.48055555555555557,0.6666666666666667,0.26666666666666666,0.16666666666666666,0.65,0.6666666666666666,0.125,0.16666666666666666,0.0,0.3333333333333333,0.1,0.5,3,3,0.4444444444444444,3,0.65,0.6666666666666666,0.125,0.3626388888888889,3,3,,,,
original,N1,2026,A_q_global,0.4,0.6,0.8,centroid,0.4358974358974359,0.3666666666666667,0.48055555555555557,0.6666666666666667,0.26666666666666666,0.16666666666666666,0.65,0.6666666666666666,0.125,0.16666666666666666,0.0,0.3333333333333333,0.1,0.5,3,3,0.4444444444444444,3,0.65,0.6666666666666666,0.125,0.36486111111111114,3,3,,,,
original,N1,2026,A_q_global,0.4,0.6,0.85,centroid,0.46153846153846156,0.4004753416518123,0.5916666666666667,0.6666666666666667,0.35294117647058826,0.18181818181818182,0.65,1.0,0.125,0.21428571428571427,0.0,0.0,0.15,0.5,2,3,0.3333333333333333,3,0.65,1.0,0.125,0.4205325311942959,3,3,,,,
