Setting,Task,Method,Stage,Precision,Recall,F1-score,Support
Single-source,S5_C6_to_C1,B10,middle,0.7659574468085106,0.972972972972973,0.8571428571428571,111.0
Single-source,S5_C6_to_C1,B10,late,0.967032967032967,1.0,0.9832402234636871,88.0
Single-source,S5_C6_to_C1,B10,macro avg,0.9109968046138258,0.8862290862290862,0.8846474675468142,304.0
Single-source,S5_C6_to_C1,B10,weighted avg,0.905000584521861,0.881578947368421,0.8785912027013846,304.0
Single-source,S5_C6_to_C1,B11,early,1.0,0.8285714285714286,0.90625,105.0
Single-source,S5_C6_to_C1,B11,middle,0.8538461538461538,1.0,0.921161825726141,111.0
Single-source,S5_C6_to_C1,B11,late,1.0,0.9886363636363636,0.9942857142857143,88.0
Single-source,S5_C6_to_C1,B11,macro avg,0.9512820512820513,0.9390692640692642,0.9405658466706184,304.0
Single-source,S5_C6_to_C1,B11,weighted avg,0.9466346153846154,0.9375,0.9371788010287648,304.0
Single-source,S5_C6_to_C1,B12,early,1.0,0.8380952380952381,0.9119170984455959,105.0
Single-source,S5_C6_to_C1,B12,middle,0.8409090909090909,1.0,0.9135802469135802,111.0
Single-source,S5_C6_to_C1,B12,late,1.0,0.9545454545454546,0.9767441860465116,88.0
Single-source,S5_C6_to_C1,B12,macro avg,0.9469696969696969,0.930880230880231,0.9340805104685627,304.0
Single-source,S5_C6_to_C1,B12,weighted avg,0.9419108851674642,0.930921052631579,0.9312901023562105,304.0
Single-source,S6_C6_to_C4,B8,early,0.6268656716417911,1.0,0.7706422018348624,84.0
Single-source,S6_C6_to_C4,B8,middle,0.5125,0.6212121212121212,0.5616438356164384,132.0
Single-source,S6_C6_to_C4,B8,late,1.0,0.11363636363636363,0.20408163265306123,88.0
Single-source,S6_C6_to_C4,B8,macro avg,0.7131218905472636,0.5782828282828282,0.512122556701454,304.0
Single-source,S6_C6_to_C4,B8,weighted avg,0.6852194619010212,0.5789473684210527,0.5158885359505516,304.0
Single-source,S6_C6_to_C4,B9,early,0.711864406779661,1.0,0.8316831683168316,84.0
Single-source,S6_C6_to_C4,B9,middle,0.8849557522123894,0.7575757575757576,0.8163265306122449,132.0
Single-source,S6_C6_to_C4,B9,late,1.0,0.8295454545454546,0.906832298136646,88.0
Single-source,S6_C6_to_C4,B9,macro avg,0.8656067196640168,0.8623737373737373,0.8516139990219075,304.0
