Setting,Task,Method,True_stage,Pred_stage,Count,Row_norm
Single-source,S4_C4_to_C6,B10,late,early,0,0.0
Single-source,S4_C4_to_C6,B10,late,middle,0,0.0
Single-source,S4_C4_to_C6,B10,late,late,91,0.9999999999999891
Single-source,S4_C4_to_C6,B11,early,early,72,0.857142857142847
Single-source,S4_C4_to_C6,B11,early,middle,12,0.14285714285714116
Single-source,S4_C4_to_C6,B11,early,late,0,0.0
Single-source,S4_C4_to_C6,B11,middle,early,0,0.0
Single-source,S4_C4_to_C6,B11,middle,middle,71,0.5503875968992206
Single-source,S4_C4_to_C6,B11,middle,late,58,0.4496124031007717
Single-source,S4_C4_to_C6,B11,late,early,0,0.0
Single-source,S4_C4_to_C6,B11,late,middle,0,0.0
Single-source,S4_C4_to_C6,B11,late,late,91,0.9999999999999891
Single-source,S4_C4_to_C6,B12,early,early,72,0.857142857142847
Single-source,S4_C4_to_C6,B12,early,middle,12,0.14285714285714116
Single-source,S4_C4_to_C6,B12,early,late,0,0.0
Single-source,S4_C4_to_C6,B12,middle,early,0,0.0
Single-source,S4_C4_to_C6,B12,middle,middle,72,0.5581395348837166
Single-source,S4_C4_to_C6,B12,middle,late,57,0.44186046511627564
Single-source,S4_C4_to_C6,B12,late,early,0,0.0
Single-source,S4_C4_to_C6,B12,late,middle,0,0.0
Single-source,S4_C4_to_C6,B12,late,late,91,0.9999999999999891
Single-source,S5_C6_to_C1,B8,early,early,89,0.8476190476190396
Single-source,S5_C6_to_C1,B8,early,middle,16,0.15238095238095092
Single-source,S5_C6_to_C1,B8,early,late,0,0.0
Single-source,S5_C6_to_C1,B8,middle,early,0,0.0
Single-source,S5_C6_to_C1,B8,middle,middle,111,0.999999999999991
Single-source,S5_C6_to_C1,B8,middle,late,0,0.0
Single-source,S5_C6_to_C1,B8,late,early,0,0.0
Single-source,S5_C6_to_C1,B8,late,middle,73,0.8295454545454451
Single-source,S5_C6_to_C1,B8,late,late,15,0.17045454545454353
Single-source,S5_C6_to_C1,B9,early,early,87,0.8285714285714207
Single-source,S5_C6_to_C1,B9,early,middle,18,0.1714285714285698
Single-source,S5_C6_to_C1,B9,early,late,0,0.0
Single-source,S5_C6_to_C1,B9,middle,early,37,0.3333333333333304
Single-source,S5_C6_to_C1,B9,middle,middle,67,0.6036036036035982
Single-source,S5_C6_to_C1,B9,middle,late,7,0.0630630630630625
Single-source,S5_C6_to_C1,B9,late,early,0,0.0
Single-source,S5_C6_to_C1,B9,late,middle,0,0.0
Single-source,S5_C6_to_C1,B9,late,late,88,0.9999999999999887
Single-source,S5_C6_to_C1,B10,early,early,72,0.6857142857142792
Single-source,S5_C6_to_C1,B10,early,middle,33,0.3142857142857113
Single-source,S5_C6_to_C1,B10,early,late,0,0.0
Single-source,S5_C6_to_C1,B10,middle,early,0,0.0
Single-source,S5_C6_to_C1,B10,middle,middle,108,0.9729729729729643
Single-source,S5_C6_to_C1,B10,middle,late,3,0.027027027027026786
Single-source,S5_C6_to_C1,B10,late,early,0,0.0
Single-source,S5_C6_to_C1,B10,late,middle,0,0.0
Single-source,S5_C6_to_C1,B10,late,late,88,0.9999999999999887
Single-source,S5_C6_to_C1,B11,early,early,87,0.8285714285714207
Single-source,S5_C6_to_C1,B11,early,middle,18,0.1714285714285698
Single-source,S5_C6_to_C1,B11,early,late,0,0.0
Single-source,S5_C6_to_C1,B11,middle,early,0,0.0
Single-source,S5_C6_to_C1,B11,middle,middle,111,0.999999999999991
Single-source,S5_C6_to_C1,B11,middle,late,0,0.0
Single-source,S5_C6_to_C1,B11,late,early,0,0.0
Single-source,S5_C6_to_C1,B11,late,middle,1,0.011363636363636236
Single-source,S5_C6_to_C1,B11,late,late,87,0.9886363636363524
Single-source,S5_C6_to_C1,B12,early,early,88,0.8380952380952301
Single-source,S5_C6_to_C1,B12,early,middle,17,0.16190476190476036
Single-source,S5_C6_to_C1,B12,early,late,0,0.0
Single-source,S5_C6_to_C1,B12,middle,early,0,0.0
Single-source,S5_C6_to_C1,B12,middle,middle,111,0.999999999999991
Single-source,S5_C6_to_C1,B12,middle,late,0,0.0
Single-source,S5_C6_to_C1,B12,late,early,0,0.0
Single-source,S5_C6_to_C1,B12,late,middle,4,0.04545454545454494
Single-source,S5_C6_to_C1,B12,late,late,84,0.9545454545454437
Single-source,S6_C6_to_C4,B8,early,early,84,0.9999999999999881
Single-source,S6_C6_to_C4,B8,early,middle,0,0.0
Single-source,S6_C6_to_C4,B8,early,late,0,0.0
Single-source,S6_C6_to_C4,B8,middle,early,50,0.37878787878787595
Single-source,S6_C6_to_C4,B8,middle,middle,82,0.6212121212121166
Single-source,S6_C6_to_C4,B8,middle,late,0,0.0
Single-source,S6_C6_to_C4,B8,late,early,0,0.0
Single-source,S6_C6_to_C4,B8,late,middle,78,0.8863636363636264
Single-source,S6_C6_to_C4,B8,late,late,10,0.11363636363636236
Single-source,S6_C6_to_C4,B9,early,early,84,0.9999999999999881
Single-source,S6_C6_to_C4,B9,early,middle,0,0.0
Single-source,S6_C6_to_C4,B9,early,late,0,0.0
Single-source,S6_C6_to_C4,B9,middle,early,32,0.2424242424242406
Single-source,S6_C6_to_C4,B9,middle,middle,100,0.7575757575757519
Single-source,S6_C6_to_C4,B9,middle,late,0,0.0
Single-source,S6_C6_to_C4,B9,late,early,2,0.02272727272727247
Single-source,S6_C6_to_C4,B9,late,middle,13,0.14772727272727107
Single-source,S6_C6_to_C4,B9,late,late,73,0.8295454545454451
Single-source,S6_C6_to_C4,B10,early,early,84,0.9999999999999881
Single-source,S6_C6_to_C4,B10,early,middle,0,0.0
Single-source,S6_C6_to_C4,B10,early,late,0,0.0
Single-source,S6_C6_to_C4,B10,middle,early,38,0.28787878787878574
Single-source,S6_C6_to_C4,B10,middle,middle,94,0.7121212121212067
Single-source,S6_C6_to_C4,B10,middle,late,0,0.0
Single-source,S6_C6_to_C4,B10,late,early,0,0.0
Single-source,S6_C6_to_C4,B10,late,middle,18,0.20454545454545223
Single-source,S6_C6_to_C4,B10,late,late,70,0.7954545454545364
Single-source,S6_C6_to_C4,B11,early,early,84,0.9999999999999881
Single-source,S6_C6_to_C4,B11,early,middle,0,0.0
Single-source,S6_C6_to_C4,B11,early,late,0,0.0
Single-source,S6_C6_to_C4,B11,middle,early,25,0.18939393939393798
Single-source,S6_C6_to_C4,B11,middle,middle,107,0.8106060606060544
Single-source,S6_C6_to_C4,B11,middle,late,0,0.0
Single-source,S6_C6_to_C4,B11,late,early,0,0.0
Single-source,S6_C6_to_C4,B11,late,middle,43,0.4886363636363581
Single-source,S6_C6_to_C4,B11,late,late,45,0.5113636363636306
Single-source,S6_C6_to_C4,B12,early,early,84,0.9999999999999881
Single-source,S6_C6_to_C4,B12,early,middle,0,0.0
Single-source,S6_C6_to_C4,B12,early,late,0,0.0
Single-source,S6_C6_to_C4,B12,middle,early,15,0.11363636363636279
Single-source,S6_C6_to_C4,B12,middle,middle,117,0.8863636363636297
Single-source,S6_C6_to_C4,B12,middle,late,0,0.0
Single-source,S6_C6_to_C4,B12,late,early,0,0.0
Single-source,S6_C6_to_C4,B12,late,middle,49,0.5568181818181756
Single-source,S6_C6_to_C4,B12,late,late,39,0.4431818181818132
