Dataset,Method,Seed,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Precision,M-Recall,M_to_E,M_to_L,Rev,Jump,Smooth,q-MAE,q-RMSE,q-R2,Spearman
PHM2010,B9_DC_PHSR,20,0.9046052631578947,0.9093355263253408,0.867309545546764,0.8740355635925257,0.9866614698367329,0.937888198757764,0.8333682519729031,0.15762273901808663,0.0090090090090089,0.3333333333333333,0.0,0.019115368555295668,0.11891086209819283,0.142209217035562,0.6056768888075369,0.950599128404318
PHM2010,B9_DC_PHSR,21,0.7697368421052632,0.6979093864143239,0.6544836037863422,0.8084331148582907,0.6308114405983388,0.7551960304337224,0.9347719812836092,0.0051679586563307,0.060060060060059504,0.0,0.0,0.018747071527221496,0.15054915738276228,0.17027728360127123,0.37215695926319764,0.4115028819558541
PHM2010,B9_DC_PHSR,22,0.7357456140350878,0.6635953354828436,0.630285137611834,0.7639777234960864,0.5965231453406105,0.7523779857406198,0.8606746281164885,0.025839793281653534,0.11348557860185671,0.3333333333333333,0.0,0.01699885505618193,0.1436593762630114,0.16219263163124395,0.45857225988798583,0.9446809988522216
PHM2010,B9_DC_PHSR,23,0.8684210526315791,0.8750418910244028,0.877659900186767,0.8193420259697858,0.9281237469166556,0.9219374397133802,0.7527823806893575,0.14916607939863635,0.0980515399120042,0.6666666666666666,0.0,0.018772757228934334,0.200334418834097,0.21956971761793323,-0.18038330578891726,0.3001763160771211
PHM2010,B9_DC_PHSR,24,0.8684210526315791,0.8739234231711883,0.8704501915708813,0.8196517116091204,0.9316683663335633,0.9160001575206254,0.7545981499469873,0.1569180173831324,0.0884838326698784,0.6666666666666666,0.6666666666666666,0.020328405926742166,0.1197176985040247,0.1412694775543435,0.6144055548642645,0.8676189619495055
PHM2010,B9_DC_PHSR,25,0.7456140350877193,0.6786439520881645,0.6670218969708918,0.774666460768675,0.5942434985249275,0.7602524287306895,0.8714295691039876,0.007751937984496034,0.12081849291151514,0.6666666666666666,0.0,0.0198068403961861,0.15386697376237438,0.1758248367754073,0.367104467704309,0.3409211568768695
PHM2010,B9_DC_PHSR,26,0.8355263157894736,0.8396636753654673,0.8313390674572215,0.7616282241011015,0.9260237345380787,0.934233449477352,0.662655784748808,0.2242776603241702,0.11306655492701907,0.3333333333333333,0.0,0.017940698130972498,0.112750296726453,0.13629583332081588,0.6568036940761028,0.9093598619446499
PHM2010,B9_DC_PHSR,27,0.8508771929824562,0.8581300588766415,0.8857455209874278,0.7916311221083226,0.8970135335341748,0.9193397789223217,0.7152876978458375,0.1392412497063649,0.14547105244779546,0.6666666666666666,0.0,0.018571808673579635,0.12161777437841566,0.14308614600089567,0.6242463115031022,0.9301693341572288
PHM2010,B9_DC_PHSR,28,0.8388157894736842,0.8422568720115082,0.8269710081742166,0.7649796519877202,0.9348199558725875,0.9275095785440612,0.685176720060441,0.22445384073290878,0.09036943920664776,0.3333333333333333,0.0,0.016872633291188266,0.10268000416300353,0.12891011061645696,0.6869372134866517,0.9006911253787335
PHM2010,B9_DC_PHSR,29,0.8223684210526315,0.7857542970110775,0.6109933288104931,0.8010652793261489,0.9452042828965906,0.8187994208709211,0.8501990362455478,0.0852713178294567,0.0645296459249942,0.3333333333333333,0.0,0.016405781647081067,0.14041710137078786,0.15886160102455493,0.4872561300866995,0.9554064513342652
PHM2010,B9_DC_PHSR,30,0.8179824561403507,0.8204194353507422,0.8501517681418874,0.728800704233563,0.8823058336767761,0.9160973387988808,0.6330416039718365,0.19103828987549773,0.17592010615266282,0.6666666666666666,0.3333333333333333,0.0209603776595392,0.1433924873842466,0.1653683360868526,0.47714644148290536,0.9229044051755373
