feature,mi_stage,mi_q,spearman_abs_q,domain_instability_C1_C4,feature_score
ch4_wp_energy_ratio_8__rel,0.5583382976932252,1.5335554102272986,0.709599078122697,1.5288238904547264,0.37499340860684605
ch2_median__rel,0.4724169670285161,1.683716618806638,0.8694551427239411,1.6637844041421774,0.372774664559161
ch2_mean__rel,0.42486193293746943,1.6586857806965116,0.8957588662105708,1.5099341342789496,0.37047050092510536
ch2_crest_factor__rel,0.4590749216082626,0.8877778883833858,0.5531380817530805,0.08654291423694994,0.3704337129829666
ch3_rms_freq__rel,0.4372234782445743,1.7236055326603377,0.6059546030247767,1.2333748524042685,0.36816860724106715
ch3_crest_factor__rel,0.5240618402340127,1.3024764062159861,0.8763190876315065,1.4547937885188964,0.3630387051560432
ch4_wp_energy_8__rel,0.42345893743321694,1.5278993322066978,0.542354020760301,0.8776549667848808,0.3624856766595432
ch5_spec_centroid__rel,0.4798353028737823,0.9431098256953936,0.5702213249892832,0.35049555798371435,0.362042789324415
ch3_wp_entropy__rel,0.42192456738702444,1.5571126889928357,0.7055393832547747,1.1739934167490362,0.3606860953358887
ch1_band_power_q2__slope,0.5870183314187964,0.8751223437071691,0.18327614748871968,0.13778432706559496,0.3572326641675099
ch3_shape_factor__rel,0.3940204240174783,1.4845098216355241,0.7039102397090744,1.002686162801473,0.35705589411551997
ch1_band_power_q3__slope,0.5346869072499629,0.832641509053119,0.3935266804263173,0.20417386289537906,0.3563063817391351
ch6_kurtosis__rel,0.5790463853563126,0.8552527751251318,0.7042712476084043,0.8783134341943312,0.355585454695998
ch1_dom_power__delta,0.5491728523433215,0.9634184542873285,0.5611328957207081,0.7005744208593738,0.3550299312632282
ch1_wp_energy_5__slope,0.5213495102747041,0.7970731164387943,0.3562667374754368,0.0662063157159767,0.3545908142571863
ch3_wp_energy_8__slope,0.5459638750785871,0.7747182563437613,0.45577481730845115,0.3078716119910735,0.35177966497905894
ch3_wp_energy_ratio_5__rel,0.4674498512532177,1.1963302139307523,0.6873027003402178,0.9234903449483558,0.35175019480368486
ch5_median__rel,0.4454124880516588,0.7526639284361711,0.6124775583238549,0.14233228570488635,0.35026339347474006
ch2_band_ratio_q4_q1__rel,0.45850810107708795,1.2282030420243393,0.21340408849058576,0.2375928453609124,0.35012743695526477
ch6_wp_energy_ratio_8__rel,0.5426685479976858,1.80343921193634,0.13797273352521436,1.242938815502605,0.34827244207351093
ch1_var__delta,0.5048675904566489,0.9806665456584138,0.6020197417907424,0.7109823433442859,0.34544486954312925
ch1_total_power__delta,0.5112598702529514,0.9690181554865327,0.5850319939164642,0.7129355453748027,0.3435819065289959
ch1_band_power_q1__delta,0.5108173424446611,0.9685645792171598,0.5849874979272708,0.7129779739148825,0.3433398651080054
ch5_wp_energy_ratio_8__rel,0.5488732893604555,1.5443617698606662,0.015243751749159522,0.8030245334889163,0.341246325782093
ch6_wp_energy_max_ratio__rel,0.422817065530646,1.2713714019851081,0.7181261797448472,1.0180656778770578,0.33991845877514
ch2_wp_energy_ratio_8__rel,0.4094179439810588,1.3167411977188226,0.7563452810871493,1.1082091117783914,0.3376211286037466
ch6_wp_entropy__rel,0.4302788028254323,1.3283079732582284,0.6282959087947273,1.0771475869692964,0.33108955913574206
ch3_wp_energy_ratio_4__rel,0.35277723550553186,0.9579459758161626,0.5147825884488125,0.11514610708536208,0.3304938869669369
ch1_wp_energy_6__slope,0.47640130059911856,0.7977867808353092,0.4178802665116944,0.30529736980145905,0.3227665734452228
ch3_band_power_q3__slope,0.559626510907425,0.7530629608952268,0.3159135312758003,0.4135763729357785,0.3225497798399484
ch3_dom_power__slope,0.5325951270947,0.8334083738661278,0.30919708490698705,0.41599000059295393,0.3217759600418915
ch1_wp_energy_1__delta,0.5969095697766986,0.6091979488528523,0.4949972397827148,0.6437091320986313,0.32128050613015446
ch6_wp_energy_ratio_4__rel,0.3723457437135167,1.149792453893959,0.7045343595350336,0.8757717545144339,0.3163155177847589
ch2_band_power_q3__slope,0.5892692634207175,0.7708088020253565,0.3238454573494166,0.6260024008963828,0.31627213336939874
ch4_band_power_q4__rel,0.3041811440465212,1.5323637668412693,0.10900555760293998,0.2536637983119421,0.3147002158568231
ch3_band_power_q1__slope,0.5176787267527867,0.8061289644263288,0.2954471762463525,0.3817680433118918,0.3137257072598404
ch4_wp_entropy__rel,0.33961548683664633,1.032231951059265,0.6565537409148078,0.5459728657726892,0.3136574463463512
ch1_rms__slope,0.4539558766173828,1.0596298850561618,0.3542009139771521,0.5746917885378721,0.3130228939418969
ch3_total_power__slope,0.515377253112073,0.8052849971812317,0.2956399681995302,0.3817801024870936,0.3127560076396186
ch1_q25__slope,0.4528951407642128,1.1191932149015114,0.3361934831899093,0.6591032089121216,0.3095178429302138
ch6_shape_factor__rel,0.5115968125180117,0.8484392410340433,0.6543316295344611,1.000107801755977,0.3091040807809183
ch1_wp_energy_7__slope,0.4499486021870003,0.8582859356769617,0.3181299307375155,0.28547478845810553,0.3078030695091809
ch4_skew__rel,0.41118142611190356,0.6530973989633901,0.6511175024307458,0.36716574466684604,0.3069892721917063
