feature,mi_stage,mi_q,spearman_abs_q,domain_instability_train_conditions,feature_score
ch4_var__rel,0.3515023559976038,0.862513519266189,0.6579383218503987,0.049628282964281796,1.033028501320751
ch7_wp_energy_ratio_1__rel,0.4776766824700971,1.4551707857506027,0.5832186975381947,0.9219418252083752,1.0328447705528934
ch7_wp_energy_max_ratio__rel,0.4776766824700971,1.4551707857506027,0.5832186975381947,0.9219418252083752,1.0328447705528934
ch5_spec_entropy__rel,0.3901742110464672,1.0071607723090281,0.6115815704854494,0.25507664166323346,1.0287909416441394
ch4_mean_abs__rel,0.35159944123639075,0.9142989474024703,0.640872819795394,0.08942922207019689,1.0279438401137924
ch5_dom_power__online_rank,0.4285248649535396,0.8076583450018275,0.5588926429064265,0.09690763841468238,1.027531052352929
ch7_q25__rel,0.407807446009238,1.18500756769714,0.35881507339023133,0.09591809132870842,1.0271177977037402
ch5_band_power_q2__rel,0.31899040001725987,1.0863437656659234,0.5594223262190132,0.04169979682215226,1.024197108534763
ch6_wp_energy_4__rel,0.3226583074133311,1.0049206268483233,0.6946271894149534,0.2024028545942848,1.0178503126218021
ch7_wp_energy_ratio_5__rel,0.4897978697382477,1.4365429491027313,0.5590448627534315,0.9524198561880888,1.0156954137465848
ch5_wp_energy_8__online_rank,0.41891521658047703,1.0271321874617283,0.5962027767625556,0.4034881564486317,1.0069936763125142
ch4_wp_energy_6__rel,0.3746439765409646,0.8123471722596847,0.6373934241989702,0.11456021133061332,1.0069001938296698
ch5_band_power_q3__rel,0.40470839757731203,0.729828284232021,0.6587366111394437,0.16441183315161828,1.0053801313398782
ch2_band_power_q3__rel,0.3983535633149309,0.8538170884181069,0.6163251780465785,0.20253820233842507,1.0051153776999309
ch4_band_power_q2__rel,0.3525216106797411,0.8519223725026426,0.5883751147463573,0.019360566161165528,1.0027767170777289
ch3_q25__rel,0.3079472930040301,1.1663147587454152,0.4897846764940895,0.04043793238714925,1.0021804836015753
ch3_band_power_q3__rel,0.36241302810343523,0.8843402991182461,0.6286029132527519,0.15025911577652806,1.0013143473723936
ch3_q25__online_rank,0.400198164567773,0.7167649390473252,0.5817123067010268,0.030793695999850944,1.0002496847767313
ch2_ptp__rel,0.3986080615783687,0.8710595850877212,0.6501350663171399,0.2895421488768752,0.9995742568844287
ch2_min__rel,0.3668606941226846,0.8785225865971222,0.6862312993645705,0.2625958676763182,0.9965483298077483
ch4_iqr__rel,0.33844546644295326,0.8922932860627553,0.6519662235318137,0.13388141089856276,0.9963155923372136
ch4_wp_energy_2__rel,0.3659771544456938,1.0106287500839128,0.5149968170785508,0.1265171522807382,0.9952621785145772
ch4_q75__online_rank,0.4351770750185011,0.7826108709532016,0.5719431871051198,0.21058241875027867,0.9934734936991901
ch3_skew__online_rank,0.39428349662260787,1.147956322953176,0.8660810037487804,0.9097095393822259,0.9934427725965305
ch5_wp_energy_ratio_7__rel,0.4439803291157567,1.3446101866673206,0.2123404974546358,0.23781739653080503,0.9925431121751627
ch5_wp_energy_4__rel,0.32881954246671663,0.947626539547096,0.7292296947093667,0.29433719176093837,0.9914291005286953
ch3_wp_energy_ratio_5__online_rank,0.36813257883609496,0.8780721840399583,0.5850247767035143,0.12763533470021435,0.9893623611755475
ch4_dom_power__online_rank,0.4163352237163529,0.689219427690817,0.5469310865348822,0.032030521911298876,0.9887969607050049
ch3_wp_energy_3__rel,0.278191205521223,1.1062719103922598,0.6113311470089047,0.12250883336759347,0.9865595338868762
ch7_wp_energy_ratio_4__rel,0.46610025781506637,1.4217373254451067,0.4944449814498612,0.8461546245115704,0.9861089687207344
ch6_wp_energy_ratio_6__rel,0.29292482874709025,0.9482920547718026,0.7005608475892542,0.1576386691945051,0.984254462747943
ch3_ptp__rel,0.3966022158593241,0.8146701340583697,0.4929905376491735,0.029128949246482707,0.9823466478364624
