Split_type,Task,Seed,Train_cases,Validation_cases,Test_cases,Method,Acc,Macro-F1,Balanced-Acc,E-F1,M-F1,L-F1,E-Rec,M-Rec,L-Rec,M-Pre,M→E,M→L,E→M,L→M,Rev,Jump,Smooth,Predicted_class_count,Window length,Top_k,Config,Best_validation_score
bestcase_candidate,CAND186,2026,"1,2,6,8,12,13,14,15,16","5,10,11","3,4,7,9",B12,0.461538462,0.478395062,0.574074074,0.666666667,0.25,0.518518519,1.0,0.222222222,0.5,0.285714286,0.111111111,0.666666667,0.0,0.357142857,2,4,0.024119966,3,4,60,b11_wide_L4_k60,-0.729582923
bestcase_candidate,CAND094,2026,"1,2,5,6,8,9,12,13,16","7,11,15","3,4,10,14",B12,0.46875,0.476259489,0.564814815,0.7,0.347826087,0.380952381,1.0,0.444444444,0.25,0.285714286,0.444444444,0.111111111,0.0,0.625,3,3,0.17482616,3,3,45,b11_sample_01,0.422820395
bestcase_candidate,CAND124,2026,"1,6,8,9,10,13,14,15,16","5,11,12","2,3,4,7",B11,0.514285714,0.470609319,0.542735043,0.64516129,0.266666667,0.5,1.0,0.166666667,0.461538462,0.666666667,0.416666667,0.416666667,0.0,0.076923077,0,1,0.22910947,3,3,20,b11_tiny_L3_k20,0.363183696
bestcase_candidate,CAND157,2026,"3,4,6,7,8,11,13,14,16","1,2,15","5,9,10,12",B11,0.71875,0.468805704,0.452380952,0.588235294,0.0,0.818181818,0.5,0.0,0.857142857,0.0,1.0,0.0,0.0,0.095238095,1,2,0.411162427,3,3,45,b11_sample_01,0.585419876
bestcase_candidate,CAND157,2026,"3,4,6,7,8,11,13,14,16","1,2,15","5,9,10,12",B12,0.71875,0.468805704,0.452380952,0.588235294,0.0,0.818181818,0.5,0.0,0.857142857,0.0,1.0,0.0,0.0,0.095238095,1,2,0.250872804,3,3,45,b11_sample_01,0.589492322
bestcase_candidate,CAND087,2026,"2,4,6,7,9,13,14,15,16","1,8,11","3,5,10,12",B9,0.484848485,0.467475879,0.541666667,0.444444444,0.428571429,0.529411765,0.8,0.375,0.45,0.5,0.125,0.5,0.0,0.15,2,1,0.079726651,3,4,30,small_L4_k30,0.397136454
bestcase_candidate,CAND111,2026,"1,3,4,5,6,9,10,11,15","2,7,14","8,12,13,16",B10,0.470588235,0.465148378,0.535897436,0.347826087,0.380952381,0.666666667,0.8,0.307692308,0.5,0.5,0.692307692,0.0,0.2,0.1875,0,0,0.058158162,3,3,20,tiny_L3_k20,0.383095892
bestcase_candidate,CAND052,2026,"2,4,5,9,12,13,14,15,16","1,3,7","6,8,10,11",B11,0.484848485,0.451388889,0.451322751,0.666666667,0.125,0.5625,0.6,0.111111111,0.642857143,0.142857143,0.111111111,0.777777778,0.2,0.285714286,3,1,0.262547327,3,3,60,b11_sample_03,0.604314464
bestcase_candidate,CAND158,2026,"3,5,6,7,8,11,13,14,16","1,4,12","2,9,10,15",B11,0.6875,0.45074224,0.481481481,0.736842105,0.0,0.615384615,1.0,0.0,0.444444444,0.0,0.0,0.0,0.0,0.0,1,4,0.205467354,2,3,45,b11_sample_04,0.662094496
bestcase_candidate,CAND124,2026,"1,6,8,9,10,13,14,15,16","5,11,12","2,3,4,7",B12,0.485714286,0.445000288,0.523504274,0.64516129,0.454545455,0.235294118,1.0,0.416666667,0.153846154,0.5,0.416666667,0.166666667,0.0,0.384615385,2,0,0.110173697,3,3,20,b11_tiny_L3_k20,-0.02741395
bestcase_candidate,CAND110,2026,"1,3,6,7,8,9,12,15,16","10,11,14","2,4,5,13",B11,0.470588235,0.442965637,0.452991453,0.580645161,0.363636364,0.384615385,0.692307692,0.333333333,0.333333333,0.4,0.333333333,0.333333333,0.0,0.2,1,2,0.245136107,3,3,60,b11_sample_03,0.554185247
bestcase_candidate,CAND198,2026,"4,5,7,8,10,11,13,15,16","1,2,14","3,6,9,12",B12,0.5,0.439996785,0.527777778,0.620689655,0.545454545,0.153846154,0.9,0.6,0.083333333,0.5,0.4,0.0,0.1,0.416666667,0,0,0.103264552,3,3,20,b11_tiny_L3_k20,0.552386464
bestcase_candidate,CAND010,2026,"1,5,7,8,12,13,14,15,16","4,9,11","2,3,6,10",B10,0.653846154,0.438095238,0.450292398,0.0,0.742857143,0.571428571,0.0,0.684210526,0.666666667,0.8125,0.105263158,0.210526316,1.0,0.333333333,0,0,0.160417332,3,5,30,small_L5_k30,0.436347433
bestcase_candidate,CAND186,2026,"1,2,6,8,12,13,14,15,16","5,10,11","3,4,7,9",B11,0.461538462,0.438095238,0.560846561,0.6,0.142857143,0.571428571,1.0,0.111111111,0.571428571,0.2,0.222222222,0.666666667,0.0,0.285714286,2,5,0.024506255,3,4,60,b11_wide_L4_k60,0.56676133
bestcase_candidate,CAND110,2026,"1,3,6,7,8,9,12,15,16","10,11,14","2,4,5,13",B12,0.470588235,0.437992832,0.452991453,0.580645161,0.333333333,0.4,0.692307692,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.076923077,0.2,2,2,0.118974171,3,3,60,b11_sample_03,0.476884349
bestcase_candidate,CAND087,2026,"2,4,6,7,9,13,14,15,16","1,8,11","3,5,10,12",B10,0.424242424,0.43339117,0.583333333,0.421052632,0.571428571,0.307692308,0.8,0.75,0.2,0.461538462,0.125,0.125,0.0,0.35,4,1,0.011637625,3,4,30,small_L4_k30,0.541329818
bestcase_candidate,CAND207,2026,"1,2,4,6,7,8,13,14,15,16","3,10,12","5,9,11",B9,0.586206897,0.431884058,0.480952381,0.0,0.6,0.695652174,0.0,0.642857143,0.8,0.5625,0.0,0.357142857,1.0,0.2,0,0,0.267119953,2,4,30,small_L4_k30,0.692688365
bestcase_candidate,CAND158,2026,"3,5,6,7,8,11,13,14,16","1,4,12","2,9,10,15",B12,0.65625,0.425982906,0.462962963,0.717948718,0.0,0.56,1.0,0.0,0.388888889,0.0,0.0,0.0,0.0,0.0,0,2,0.103983552,2,3,45,b11_sample_04,0.713705214
bestcase_candidate,CAND094,2026,"1,2,5,6,8,9,12,13,16","7,11,15","3,4,10,14",B9,0.357142857,0.422751323,0.5625,0.8,0.357142857,0.111111111,1.0,0.625,0.0625,0.25,0.25,0.125,0.0,0.9375,1,1,0.145959277,3,4,30,small_L4_k30,0.505308085
