feature,MI_stage,MI_q,Spearman_q,distribution_instability,final_score,instability_group,selected,rank,max_abs_corr_with_selected
force_sensor_z__total_power__rel,0.15617088744534557,0.6662470319804896,0.4732329162434186,0.523572016635473,0.8672597124463666,domain_id,False,97,
position_control_deviation_axis_y__variance__rel,0.3264104926959328,0.5478877479264486,0.4796324077245093,2.437162479183775,0.8653658636085786,domain_id,False,98,
force_sensor_z__kurtosis__rank,0.30501627535232867,0.9036206575929255,0.17515011487307028,0.4532049289004617,0.8639184240169774,domain_id,False,99,
position_control_deviation_axis_y__std__rel,0.3196964431164815,0.5497297830280061,0.4777825158613511,2.417482300663598,0.8570400618347815,domain_id,False,100,
position_control_deviation_axis_x__energy__rel,0.26824901834284565,0.8405389309718969,0.2963959898050473,1.0158288263414625,0.8540734134401076,domain_id,False,101,
position_control_deviation_axis_y__rms__rel,0.31269462130735026,0.5489497524118523,0.4777758399169582,2.4195222995363315,0.8469769752539653,domain_id,False,102,
position_control_deviation_axis_y__energy__rel,0.3096762350198121,0.5511100017537669,0.479616263918794,2.439675132000656,0.8433612659478374,domain_id,False,103,
force_sensor_y__skewness__rank,0.18998048238360155,0.9790621850525634,0.3556872514217929,1.1476796679051973,0.8417280432602597,domain_id,False,104,
position_control_deviation_axis_x__rms__rel,0.2640605807413141,0.8223504676999358,0.2990379135044264,1.0551854417888258,0.8404601293071632,domain_id,False,105,
force_sensor_y__clearance_factor__rank,0.25882131896759675,0.7767817745935508,0.24326548056836575,0.34888300782818665,0.8348612590493423,domain_id,False,106,
force_sensor_x__band1_energy_ratio__slope,0.380402303696604,0.5115958584933491,0.13087932027594518,0.009976088491495503,0.8300006034883518,domain_id,False,107,
force_sensor_x__band0_energy_ratio__slope,0.3808311053146811,0.5105327122000012,0.1295536390393451,0.010008976721732296,0.828881148083782,domain_id,False,108,
force_sensor_z__shape_factor__rank,0.26347556331905153,0.7524118317133426,0.2806510087025638,0.7529853604793035,0.8279498068218468,domain_id,False,109,
force_sensor_y__clearance_factor__rel,0.26139600776917216,0.7822821151349535,0.2275043790273555,0.3322077979176206,0.8262998587648132,domain_id,False,110,
force_sensor_y__peak__rank,0.21909655529757366,0.5715460695204739,0.39636378122222793,0.7418030438310415,0.8201603190367632,domain_id,False,111,
position_control_deviation_axis_x__total_power__rel,0.27598279747149923,0.7157493270171953,0.32730835535070657,1.3257255280248386,0.8191501474614784,domain_id,False,112,
force_sensor_y__impulse_factor__rank,0.28524863931362465,0.7105317289610174,0.2111543496529783,0.3867782438330982,0.8114717085662487,domain_id,False,113,
force_sensor_x__variance__rel,0.25205808095244553,1.2980456421541318,0.11947009241222883,1.0844174697530633,0.809830781348885,domain_id,False,114,
force_sensor_z__peak__rel,0.22254868930228122,1.0034300866279846,0.2561855097248252,1.0224233792171882,0.8083848047248695,domain_id,False,115,
force_sensor_x__band2_energy_ratio__rank,0.20795744334190625,0.47907371034280777,0.37195664963021235,0.16174816842143586,0.808131040345831,domain_id,False,116,
position_control_deviation_axis_x__spectral_rms__rel,0.283073375024149,0.6920601340923711,0.32117812675483326,1.4044366916611946,0.8061373324090885,domain_id,False,117,
force_sensor_y__peak__rel,0.20462930982159921,0.6674529738115478,0.36714535779457474,0.7428746513883707,0.8050085814606034,domain_id,False,118,
force_sensor_x__abs_mean__rank,0.17378169076885408,0.7664742424471562,0.4418926939402479,1.4559890839157528,0.7984808867799782,domain_id,False,119,
force_sensor_z__zero_crossing_rate__rel,0.17271088855860106,0.6438654993524286,0.35115525271599285,0.20323648068401934,0.7931802388562914,domain_id,False,120,
position_control_deviation_axis_x__abs_mean__rel,0.2565321012278059,0.7341873995107133,0.3193945315844741,1.334496329712454,0.7902707936077094,domain_id,False,121,
force_sensor_y__impulse_factor__rel,0.2688367778577976,0.756339503874166,0.19812426216437362,0.41059754615576166,0.7897514943541216,domain_id,False,122,
force_sensor_z__band0_energy_ratio__rank,0.16379275470249754,0.4815652300510238,0.3996402873693697,0.0396749186019988,0.789041613552771,domain_id,False,123,
force_sensor_z__crest_factor__rank,0.2962008311485185,0.6877943039431953,0.202570133700037,0.5908620392158087,0.7885786875261909,domain_id,False,124,
force_sensor_x__std__rel,0.25523147445729055,1.231458871520129,0.11739029553443014,1.119093410371528,0.7849112792325353,domain_id,False,125,
force_sensor_x__variance__rank,0.27386434003346705,1.0067292623568642,0.1580383101869775,1.004817758563456,0.7833603975431321,domain_id,False,126,
force_sensor_x__std__rank,0.2737089775206272,1.006200084079401,0.1580383101869775,1.004817758563456,0.7829607798581889,domain_id,False,127,
force_sensor_z__shape_factor__rel,0.21222665813897956,0.7687387131735495,0.29135777836614435,0.7301936700209025,0.7767737254443873,domain_id,False,128,
force_sensor_z__impulse_factor__rel,0.26903643830836943,0.8460096456598221,0.17429998618720613,0.71115038920191,0.7666796774320301,domain_id,False,129,
force_sensor_x__spectral_skewness__rel,0.22880615042254293,0.6184520085087506,0.2671760801888014,0.3044645250754006,0.7663319809859536,domain_id,False,130,
